 t        y1(t)        y2(t)
68.7     1.918101     4.627702
68.8     1.969352     4.647986
68.9     2.021879     4.692563
69.0     2.072038     4.757957
69.1     2.116537     4.839456
69.2     2.152604     4.931457
69.3     2.178094     5.027820
69.4     2.191543     5.122203
69.5     2.192197     5.208403
69.6     2.180018     5.280673
69.7     2.155686     5.334046
69.8     2.120589     5.364638
69.9     2.076811     5.369954
70.0     2.027089     5.349151
70.1     1.974737     5.303240
70.2     1.923479     5.235167
70.3     1.877200     5.149718
70.4     1.839597     5.053210
70.5     1.813778     4.952962
70.6     1.801884     4.856616
70.7     1.804835     4.771419
70.8     1.822246     4.703578
70.9     1.852518     4.657782
71.0     1.893067     4.636908
71.1     1.940634     4.641926
71.2     1.991604     4.671957
71.3     2.042321     4.724459
71.4     2.089345     4.795497
71.5     2.129652     4.880068
71.6     2.160772     4.972434
71.7     2.180875     5.066468
71.8     2.188815     5.155984
71.9     2.184145     5.235067
72.0     2.167125     5.298381
72.1     2.138717     5.341486
72.2     2.100575     5.361134
72.3     2.055019     5.355550
72.4     2.004982     5.324672
72.5     1.953894     5.270291
72.6     1.905487     5.196068
72.7     1.863512     5.107350
72.8     1.831365     5.010773
72.9     1.811710     4.913681
73.0     1.806151     4.823435
73.1     1.815051     4.746742
73.2     1.837527     4.689083
73.3     1.871595     4.654323
73.4     1.914431     4.644505
73.5     1.962678     4.659816
73.6     2.012761     4.698702
73.7     2.061170     4.758085
73.8     2.104690     4.833648
73.9     2.140573     4.920159
74.0     2.166653     5.011808
74.1     2.181410     5.102538
74.2     2.184005     5.186369
74.3     2.174291     5.257715
74.4     2.152814     5.311695
74.5     2.120807     5.344429
74.6     2.080175     5.353327
74.7     2.033454     5.337349
74.8     1.983737     5.297198
74.9     1.934527     5.235411
75.0     1.889508     5.156292
75.1     1.852229     5.065640
75.2     1.825737     4.970290
75.3     1.812218     4.877485
75.4     1.812737     4.794207
75.5     1.827135     4.726554
75.6     1.854084     4.679255
75.7     1.891280     4.655360
75.8     1.935721     4.656111
75.9     1.984009     4.680972
76.0     2.032650     4.727780
76.1     2.078309     4.792988
76.2     2.118015     4.871968
76.3     2.149300     4.959324
76.4     2.170298     5.049232
76.5     2.179796     5.135757
76.6     2.177251     5.213171
76.7     2.162808     5.276264
76.8     2.137287     5.320642
76.9     2.102182     5.343015
77.0     2.059629     5.341474
77.1     2.012356     5.315713
77.2     1.963578     5.267183
77.3     1.916821     5.199112
77.4     1.875663     5.116362
